Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,16.484375,True,FORWARD
scenario_1on,16.484375,True,FORWARD
scenario_1on,16.5,True,FORWARD
scenario_1on,16.5,True,FORWARD
scenario_1on,16.5,True,FORWARD
scenario_1on,16.5,True,FORWARD
scenario_1on,16.515625,True,FORWARD
scenario_1on,16.515625,True,FORWARD
scenario_1on,16.515625,True,FORWARD
scenario_1on,16.515625,True,FORWARD
scenario_1on,16.53125,True,FORWARD
scenario_1on,16.53125,True,FORWARD
scenario_1on,16.53125,True,FORWARD
scenario_1on,16.53125,True,FORWARD
scenario_1on,16.546875,True,FORWARD
scenario_1on,16.546875,True,FORWARD
scenario_1on,16.546875,True,FORWARD
scenario_1on,16.546875,True,FORWARD
scenario_1on,16.5625,True,FORWARD
scenario_1on,16.5625,True,FORWARD
scenario_1on,16.5625,True,FORWARD
scenario_1on,16.5625,True,FORWARD
scenario_1on,16.578125,True,FORWARD
scenario_1on,16.578125,True,FORWARD
scenario_1on,16.578125,True,FORWARD
scenario_1on,16.578125,True,FORWARD
scenario_1on,16.578125,False,FORWARD
scenario_1on,16.59375,False,FORWARD
scenario_1on,16.59375,False,FORWARD
scenario_1on,16.59375,False,FORWARD
scenario_1on,16.59375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.640625,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.734375,False,FORWARD
scenario_1on,16.71875,False,FORWARD
scenario_1on,16.71875,False,FORWARD
scenario_1on,16.75,False,FORWARD
scenario_1on,16.71875,False,FORWARD
scenario_1on,16.71875,False,FORWARD
scenario_1on,16.71875,False,FORWARD
scenario_1on,16.703125,False,FORWARD
scenario_1on,16.6875,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.65625,False,FORWARD
scenario_1on,16.65625,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.671875,False,FORWARD
scenario_1on,16.609375,False,FORWARD
scenario_1on,16.546875,False,FORWARD
scenario_1on,16.515625,False,FORWARD
scenario_1on,16.515625,False,FORWARD
scenario_1on,16.46875,False,FORWARD
scenario_1on,16.40625,False,FORWARD
scenario_1on,16.359375,False,FORWARD
scenario_1on,16.359375,False,FORWARD
scenario_1on,16.328125,False,FORWARD
scenario_1on,16.265625,False,FORWARD
scenario_1on,16.203125,False,FORWARD
scenario_1on,16.203125,False,FORWARD
scenario_1on,16.171875,False,FORWARD
scenario_1on,16.09375,False,FORWARD
scenario_1on,16.0625,False,FORWARD
scenario_1on,16.0625,False,FORWARD
scenario_1on,16.015625,False,FORWARD
scenario_1on,15.9375,False,FORWARD
scenario_1on,15.9140625,False,FORWARD
scenario_1on,15.9140625,False,FORWARD
scenario_1on,15.8515625,False,FORWARD
scenario_1on,15.777344,False,FORWARD
scenario_1on,15.7734375,False,FORWARD
scenario_1on,15.765625,False,FORWARD
scenario_1on,15.7734375,False,FORWARD
scenario_1on,15.78125,False,FORWARD
scenario_1on,15.78125,False,FORWARD
scenario_1on,15.7734375,False,FORWARD
scenario_1on,15.78125,False,FORWARD
scenario_1on,15.6875,False,FORWARD
scenario_1on,15.640625,False,FORWARD
scenario_1on,15.6328125,False,FORWARD
scenario_1on,15.640625,False,FORWARD
scenario_1on,15.6484375,False,FORWARD
scenario_1on,15.6484375,False,FORWARD
scenario_1on,15.640625,False,FORWARD
scenario_1on,15.640625,False,FORWARD
scenario_1on,15.6484375,False,FORWARD
scenario_1on,15.65625,False,FORWARD
scenario_1on,15.6484375,False,FORWARD
